latitude,longitude,id_package,guide_ivoy,guide,valid_info,description,id_client
19.547554000000000000000000000000,-99.174649000000000000000000000000,1046950,002023574P001046950,36515140351100100031,2,"Paquete creado",78788
35.007751900000000000000000000000,-97.092877000000000000000000000000,963146,001901493P000963146,7852691,2,"Paquete en una orden",126008
22.772403600000000000000000000000,-102.480337500000000000000000000000,1007329,001965673P001007329,7882414,2,"Paquete en una orden",126008
35.007751900000000000000000000000,-97.092877000000000000000000000000,1018602,001981894P001018602,7889111,2,"Paquete en una orden",126008
23.787084900000000000000000000000,-103.110351100000000000000000000000,1025737,002000497P001025737,1417742,2,"Paquete en una orden",135977
22.126349900000000000000000000000,-100.934636800000000000000000000000,1027727,002002611P001027727,07541137154200100030,2,"Paquete en una orden",70933
20.588793200000000000000000000000,-100.389888100000000000000000000000,1027810,002002695P001027810,07541246809000100038,2,"Paquete en una orden",70933
20.650449800000000000000000000000,-103.254350400000000000000000000000,1031046,002006220P001031046,36515085347800100031,2,"Paquete en una orden",78788
20.586100000000000000000000000000,-100.377700000000000000000000000000,1031454,002006781P001031454,19015119791200100032,2,"Paquete en una orden",78790
24.060311800000000000000000000000,-104.618704700000000000000000000000,1037352,002012794P001037352,07541380776000100036,2,"Paquete en una orden",70933
20.659751600000000000000000000000,-103.190111700000000000000000000000,1037462,002012902P001037462,07541474396100100033,2,"Paquete en una orden",70933
17.982021500000000000000000000000,-102.350469000000000000000000000000,1037734,002013155P001037734,07541619147700100036,2,"Paquete en una orden",70933
21.341351900000000000000000000000,-97.681942999999990000000000000000,1037848,002013266P001037848,07541136340100100039,2,"Paquete en una orden",70933
21.341351900000000000000000000000,-97.681942999999990000000000000000,1037856,002013278P001037856,07541136340100200036,2,"Paquete en una orden",70933
19.931760600000000000000000000000,-102.943186000000000000000000000000,1037901,002013314P001037901,07541137254000100039,2,"Paquete en una orden",70933
22.778902500000000000000000000000,-102.501398000000000000000000000000,1040476,002016326P001040476,07541509609700100033,2,"Paquete en una orden",70933
15.660433100000000000000000000000,-92.142538500000000000000000000000,1041030,002016841P001041030,07541624020000100031,2,"Paquete en una orden",70933
21.958955100000000000000000000000,-102.250963200000000000000000000000,1043740,002019827P001043740,07815140460100100039,2,"Paquete en una orden",78789
23.270440900000000000000000000000,-106.370772800000000000000000000000,1044437,002020501P001044437,07815115708600100031,2,"Paquete en una orden",78789
